size_id,size_name,uniform_id
1,SS,1
2,S,1
3,M,1
4,L,1
5,LL,1
6,EL,1
7,4L,1
8,5L,1
9,SS,2
10,S,2
11,M,2
12,L,2
13,LL,2
14,EL,2
15,4L,2
16,5L,2
17,SS,3
18,S,3
19,M,3
20,L,3
21,LL,3
22,EL,3
23,4L,3
24,5L,3
25,SS,4
26,S,4
27,M,4
28,L,4
29,LL,4
30,EL,4
31,4L,4
32,5L,4
33,SS,5
34,S,5
35,M,5
36,L,5
37,LL,5
38,EL,5
39,4L,5
40,5L,5
41,SS,6
42,S,6
43,M,6
44,L,6
45,LL,6
46,EL,6
47,4L,6
48,5L,6
49,SS,7
50,S,7
51,M,7
52,L,7
53,LL,7
54,EL,7
55,4L,7
56,5L,7
57,70,8
58,73,8
59,76,8
60,79,8
61,82,8
62,85,8
63,88,8
64,91,8
65,95,8
66,100,8
67,106,8
68,110,8
69,112,8
70,SS,9
71,S,9
72,M,9
73,L,9
74,LL,9
75,EL,9
76,4L,9
77,5L,9
78,SS,10
79,S,10
80,M,10
81,L,10
82,LL,10
83,EL,10
84,4L,10
85,5L,10
86,70,11
87,73,11
88,76,11
89,79,11
90,82,11
91,85,11
92,88,11
93,91,11
94,96,11
95,101,11
96,106,11
97,110,11
98,112,11
99,SS,12
100,S,12
101,M,12
102,L,12
103,LL,12
104,EL,12
105,4L,12
106,5L,12
107,SS,13
108,S,13
109,M,13
110,L,13
111,LL,13
112,EL,13
113,4L,13
114,5L,13
115,SS,14
116,S,14
117,M,14
118,L,14
119,LL,14
120,EL,14
121,4L,14
122,5L,14
123,59,15
124,61,15
125,64,15
126,67,15
127,70,15
128,73,15
129,76,15
130,81,15
131,86,15
132,91,15
133,70,16
134,73,16
135,76,16
136,79,16
137,82,16
138,85,16
139,88,16
140,91,16
141,96,16
142,101,16
143,106,16
144,112,16
145,F,17
146,F,18
147,22.5,19
148,23,19
149,23.5,19
150,24,19
151,24.5,19
152,25,19
153,25.5,19
154,26,19
155,26.5,19
156,27,19
157,27.5,19
158,28,19
159,S,20
160,M,20
161,L,20
162,LL,20
163,EL,20
164,4L,20
165,5L,20
166,S,21
167,M,21
168,L,21
169,LL,21
170,EL,21
171,4L,21
172,5L,21
173,1,22
174,2,22
175,3,22
176,4,22
177,5,22
178,6,22
179,7,22
180,8,22
181,9,22
182,10,22
183,11,22
184,12,22
185,13,22
186,14,22
187,S,23
188,M,23
189,L,23
190,LL,23
191,EL,23
192,4L,23
193,5L,23
194,S,24
195,M,24
196,L,24
197,LL,24
198,EL,24
199,S,25
200,M,25
201,L,25
202,LL,25
203,EL,25
204,F,26
205,F,27
206,S,28
207,M,28
208,L,28
209,LL,28
210,3L,28
211,70,29
212,73,29
213,76,29
214,79,29
215,82,29
216,85,29
217,88,29
218,91,29
219,96,29
220,101,29
221,106,29
222,110,29
223,112,29
224,120,29
225,S,30
226,M,30
227,L,30
228,LL,30
229,3L,30
230,S,31
231,M,31
232,L,31
233,LL,31
234,3L,31
235,S,32
236,M,32
237,L,32
238,LL,32
239,3L,32
240,S,33
241,M,33
242,L,33
243,LL,33
244,3L,33
245,S,34
246,M,34
247,L,34
248,LL,34
249,3L,34
250,S,35
251,M,35
252,L,35
253,LL,35
254,3L,35
255,M,36
256,L,36
257,LL,36
258,F,37
259,F,38
260,22,39
261,22.5,39
262,23,39
263,23.5,39
264,24,39
265,24.5,39
266,25,39
267,25.5,39
268,26,39
269,26.5,39
270,27,39
271,27.5,39
272,28,39
273,23,40
274,23.5,40
275,24,40
276,24.5,40
277,25,40
278,25.5,40
279,26,40
280,SS,41
281,S,41
282,M,41
283,L,41
284,LL,41
285,EL,41
286,4L,41
287,5L,41
288,1,42
289,2,42
290,3,42
291,4,42
292,5,42
293,6,42
294,7,42
295,8,42
296,9,42
297,10,42
298,11,42
299,SS,43
300,S,43
301,M,43
302,L,43
303,LL,43
304,EL,43
305,4L,43
306,5L,43
307,M,44
308,L,44
309,LL,44
310,F,45
311,S,46
312,M,46
313,L,46
314,LL,46
315,EL,46
316,4L,46
317,5L,46
318,S,47
319,M,47
320,L,47
321,LL,47
322,EL,47
323,4L,47
324,5L,47
325,S,48
326,M,48
327,L,48
328,LL,48
329,EL,48
330,4L,48
331,5L,48
332,M,49
333,L,49
334,LL,49
335,F,50
336,F,51
337,F,52
338,F,53
339,F,54
340,S,55
341,M,55
342,L,55
343,LL,55
344,EL,55
345,F,56
346,F,57
347,F,58
348,F,59
349,F,60
350,S,61
351,M,61
352,L,61
353,LL,61
354,3L,61
355,S,62
356,M,62
357,L,62
358,LL,62
359,3L,62
360,S,65
361,M,65
362,L,65
363,LL,65
364,3L,65
365,59,66
366,61,66
367,64,66
368,67,66
369,70,66
370,73,66
371,76,66
372,81,66
373,86,66
374,91,66
375,SS,68
376,S,68
377,M,68
378,L,68
379,LL,68
380,EL,68
381,4L,68
382,5L,68
383,SS,69
384,S,69
385,M,69
386,L,69
387,LL,69
388,EL,69
389,4L,69
390,5L,69
391,70,70
392,73,70
393,76,70
394,79,70
395,82,70
396,85,70
397,88,70
398,91,70
399,96,70
400,101,70
401,106,70
402,110,70
403,112,70
404,SS,71
405,S,71
406,M,71
407,L,71
408,LL,71
409,EL,71
410,4L,71
411,5L,71
412,70,72
413,73,72
414,76,72
415,79,72
416,82,72
417,85,72
418,88,72
419,91,72
420,95,72
421,100,72
422,105,72
423,110,72
424,115,72
425,120,72
426,7,73
427,9,73
428,11,73
429,13,73
430,15,73
431,17,73
432,19,73
433,S,74
434,M,74
435,L,74
436,LL,74
437,3L,74
438,4L,74
439,5L,74
