uniform_id,uniform_name,pattern_id
1,レディース長袖シャツ［47820ｸﾞﾘｰﾝ］,1
2,レディース半袖シャツ［47830ｸﾞﾘｰﾝ］,1
3,レディースパンツ［47806ｸﾞﾘｰﾝ］,1
4,(共有)半袖ポロシャツ［330AVPﾐﾝﾄｸﾞﾘｰﾝ］,1
5,(共有)Tシャツ［85234ｴﾒﾗﾙﾄﾞ］,1
6,メンズ長袖シャツ［84104ｸﾞﾘｰﾝ］,1
7,メンズ半袖シャツ［84114ｸﾞﾘｰﾝ］,1
8,メンズパンツ［80102ｸﾞﾘｰﾝ］,1
9,(共有)長袖シャツ［84104ｼﾙﾊﾞｰ］,2
10,(共有)半袖シャツ［84114ｼﾙﾊﾞｰ］,2
11,(共有)パンツ［80102ｼﾙﾊﾞｰ］,2
12,(共有)ブルゾン［81400ｼﾙﾊﾞｰ］,2
13,"(共有)半袖ニットペアシャツ[U805紺］
",3
14,"(共有)長袖ニットペアシャツ[U895紺]
",3
15,レディースストレッチカーゴパンツ[WH90362ﾈｲﾋﾞｰ],3
16,メンズスストレッチカーゴパンツ[WH90372ﾈｲﾋﾞｰ],3
17,(共有)エプロン[BC1135紺]（東川口行政ｾﾝﾀｰ、第一工業、あおば）,3
18,(共有)三角巾バンダナ[SH004-83ﾈｲﾋﾞｰ]（SMCのみ）,3
19,(共有)シューズ親方寅さん[ﾌｸﾔﾏｺﾞﾑ白]（SMCのみ）,3
20,"メンズ長袖シャツ[46504 ﾛｲﾔﾙﾌﾞﾙｰ]
",4
21,"メンズ半袖ポロシャツ[6140 ﾛｲﾔﾙﾌﾞﾙｰ]
",4
22,"メンズ静電パンツ[3310ﾈｲﾋﾞｰ」
",4
23,"メンズ静電ジャンパー[3310ﾈｲﾋﾞｰ]
",4
24,"メンズ防寒ハーフコート[48483 ﾈｲﾋﾞｰ]
",4
25,"メンズ防寒パンツ[48481ﾈｲﾋﾞｰ ]
",4
26,メンズネクタイ[S563ｴﾝｼﾞ],4
27,メンズイベントキャップ[00700EVMﾈｲﾋﾞｰ］,4
28,メンズ雨合羽［ｱｲﾄｽAZ－58700ﾈｲﾋﾞｰ］,4
29,メンズ夏用パンツ[5035ﾈｲﾋﾞｰ],4
30,"レディース衿なし長袖白衣[KA330白]
",5
31,"レディース衿なし半袖白衣[KA332白]
",5
32,レディース総ゴムトレパン[7-003白],5
33,"メンズ衿なし長袖白衣[KA310白]
",5
34,メンズ衿なし半袖白衣[KA312白],5
35,メンズ総ゴムトレパン[7-653白]　,5
36,(共有)ショート頭巾帽子[9-1016白],5
37,(共有)首掛けエプロン[4670白],5
38,(共有)たすき掛けエプロン[4770白],5
39,(共有)調理シューズ [ｼｪﾌﾒｲﾄA100白],5
40,(共有)長靴[ｿﾞﾅG3白],5
41,(共有)冬用長袖シャツ[G5228青]☆ワッペン胸・袖各1枚,6
42,(共有)冬用パンツ[C5285紺」,6
43,(共有)冬用防寒コート[G5315紺]☆ワッペン胸・袖各1枚,6
44,(共有)冬用アポロキャップ[S449紺],6
45,(共有)冬用防寒手袋[S375白],6
46,(共有)冬用防寒ブルゾン[272紺]☆ワッペン胸・袖各1枚,6
47,(共有)夏用半袖ペアシャツ[G406水色]☆ワッペン胸・袖各1枚,6
48,(共有)夏用アジャスターパンツ[G475紺],6
49,(共有)夏用ｱポロキャップメッシュ[S447紺],6
50,(共有)夏用ナイロン手袋[S371白],6
51,(共有)ネクタイ[S561 紺],6
52,(共有)ベルト[S637紺],6
53,(共有)吊組紐シングル「S610ｴﾝｼﾞ」,6
54,(共有)警笛 [S618銀],6
55,(共有)合羽[レインストーリー５３６ 白],6
56,(共有)特殊警戒棒 ケース付[S872黒赤],6
57,(共有)特殊警棒ケース[S873赤］,6
58,(共有)キーケース人工皮革 [S866黒,6
59,(共有)鍵紐コイル式ナスカン・ワイヤー仕様 [S622],6
60,【制服担当】ワッペン取付1枚200円,6
61,(共有)半袖ポロシャツ[330-AVPﾌﾞﾗｯｸ］,7
62,(共有)長袖ポロシャツ[335-ALPﾌﾞﾗｯｸ],7
63,レディースストレッチカーゴパンツ［WH90362ﾈｲﾋﾞｰ］,7
64,メンズスストレッチカーゴパンツ[WH90372ﾈｲﾋﾞｰ］,7
65,(共有)半袖ＢＤポロシャツ[WH90618ﾌﾞﾙｰ],8
66,レディースストレッチカーゴパンツ[WH90362ﾈｲﾋﾞｰ],8
67,メンズストレッチカーゴパンツ[WH90372ﾈｲﾋﾞｰ］,8
68,(共有)長袖シャツ［84104ｼﾙﾊﾞｰ］,9
69,(共有)半袖シャツ［84114ｼﾙﾊﾞｰ］,9
70,(共有)パンツ［80102ｼﾙﾊﾞｰ］,9
71,(共有)ブルゾン［81400ｼﾙﾊﾞｰ］,9
72,夏用メンズストレッチパンツ[6062紺],9
73,夏用レディースストレッチパンツ[60627紺],9
74,夏用メンズ半袖シャツ[TU－9803ｽﾄｰﾝｸﾞﾚｰ],9
